system:index,MNDWI,NDBI,NDVI_norm,elevation,land_cover,slope,.geo
2_0_0,0.18148714,-0.04051964,-0.13092901,126,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.73998633727284,23.93260138916285]}"
2_1_0,0.19310603,-0.021328354,-0.13014358,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.70081521660337,24.748630993257024]}"
2_2_0,0.1774168,-0.030798005,-0.12822947,126,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.72758958635198,23.9269420028729]}"
2_3_0,0.18123813,0.065745264,-0.09350394,4,water,7.036466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.85281016267639,22.439062397785737]}"
2_4_0,0.17254037,-0.26200196,0.074366756,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.71186449459805,24.999799946696843]}"
2_5_0,0.22745527,-0.020256974,-0.17429388,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.53480655209809,25.14101510936043]}"
2_6_0,-0.24238756,0.043926407,0.15871257,5,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.7115950000128,24.28510030665135]}"
2_7_0,0.04841257,0.017883148,0.02448806,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.85011521682404,22.573809690403664]}"
2_8_0,0.25180268,-0.026986878,-0.14046675,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.62131431395879,25.263096156472276]}"
2_9_0,0.18323001,-0.048702706,-0.12004966,6,water,1.0258504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.49923326684696,25.308101752206664]}"
2_10_0,0.2149867,-0.03352232,-0.14479618,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.52187081200677,25.197878466845196]}"
2_11_0,0.22829507,-0.011265935,-0.16851522,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.59113092041238,25.14586601189468]}"
2_12_0,0.088675536,0.034582403,-0.04502097,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.63613651614676,24.80684182366797]}"
2_13_0,0.088059135,-0.0360738,-0.023910591,0,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.72264427800748,24.251682978082105]}"
2_14_0,-0.20566404,-0.008048605,0.20703492,126,water,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.79819716768378,23.956316912663606]}"
